size,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8
40,191.5,113.5,176,130.5,172.5,132.5,161,128
20,141.5,76,125,106,119,102,112,99
10,113.5,58,99.5,84.5,76.5,75.5,74,68.5
5,92,44,75,74.5,72.5,69,57,62.5
2.5,72.5,37,60,62,48.5,67.5,42.5,60.5
0,39.5,30.5,32.5,53.5,20,60,11.5,65
