size,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8
0,12.5,29.5,7.5,20,1.5,12.5,1,13
2.5,31,42,27,31,18,26.5,21.5,24
5,52,54,47.5,39,32.5,34,34,33.5
10,66.5,64.5,62.5,55.5,45,42.5,54,42
20,97.5,85,97.5,81,90.5,68,85.5,77.5
40,150,127,137,111.5,143,114,134.5,103
