size,trial 1,trial 2,trial 3,trial 4,trial 5
40,94.5,88.5,78.5,77.5,106
20,55,52,43,47,65
10,42.5,41,24,21.5,10.5
5,26,31.5,17,16,12.5
2.5,13.5,15.5,8,16,5.5
0,20,5.5,2.5,14,2
